"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91"
"1" 2007 50.58311 1.12689 47.40397 9.41476 -13.64117 -13.32574 -4.89548 -10.554 -2.15926 -8.15672 4.5364 2.47028 13.79519 1584.19293 1546.14349 1554.80072 686.59939 718.6762 609.45204 556.61708 438.91476 345.85985 205.67373 252.68772 26.82965 -357.9621 -298.61649 -82.31137 -21.10791 63.89813 -64.07806 59.59396 66.74997 -85.94825 -17.21709 77.39084 4.74769 -204.82193 -570.32239 -101.65443 -84.00495 -71.11958 -124.65264 -8.35294 46.24896 -18.31812 51.69878 277.06945 -69.50228 100.06192 -1.4936 5.81575 49.11113 27.4735 13.26169 -42.62284 459.63636 -20.13204 162.90905 2.27756 2.27904 9.42108 8.38354 -236.4804 -6.25232 -39.4595 41.20025 21.03033 -31.58122 12.75648 137.07743 -200.17528 -186.3766 0.28613 -21.33747 -12.23451 26.07439 12.242 -2.47684 192.85313 -14.49118 -41.38128 -0.37081 -35.38855 -1.43089 66.43453 -114.6417 -0.94542 57.94192 7.79099
"2" 1995 38.45472 11.57426 -14.84256 14.19672 0.45739 -5.46868 -16.1318 0.32095 4.27558 4.48902 3.55389 8.25275 40.02355 1895.96668 2057.78334 2503.9808 906.43297 1278.68841 535.98488 912.73388 499.27906 429.32328 358.14404 267.57386 10.96403 17.41394 -818.93867 -240.79151 83.11448 145.9549 105.25508 80.5538 27.40484 -0.58807 -13.56158 61.6798 -93.9248 209.36805 -171.08994 -67.22649 -47.16615 15.63322 -66.64112 33.35029 24.58083 42.71679 291.9549 207.71863 164.20344 -99.49876 -117.25787 24.8443 104.07027 16.66226 -20.75969 -66.16328 -236.82733 31.5886 59.60579 -43.14591 15.03111 -49.44618 32.99722 -158.16678 -156.75143 33.8651 6.77989 -194.79523 -71.27493 -1.26535 -22.19866 -109.7087 87.3499 -41.21257 -62.51083 -2.50008 -185.55557 102.57531 152.41001 -22.06462 19.30337 -212.67665 -156.92346 -206.60218 16.68979 49.62504 73.38642 8.14493 33.2191 9.36071
"3" 2000 39.17028 -29.68066 12.34202 -18.57618 -8.58947 -12.66353 -5.66379 -0.84047 9.26299 1.65966 -5.59735 2.67942 56.1675 3569.4786 1522.2482 1543.49931 1115.5514 706.53705 889.75695 607.66953 512.83532 355.18753 218.84111 220.16717 -0.16042 204.84454 128.99732 -185.25966 -313.14163 207.51023 136.02571 2.205 26.15227 -28.59487 9.09231 -38.77749 113.06774 -315.22432 -121.02548 -172.30991 -23.47149 -86.56202 -31.59705 -0.40026 0.46831 -38.80505 -130.6894 347.37033 37.64234 -73.12756 28.48835 100.29088 5.58691 53.65816 31.30224 423.50406 294.40453 137.75104 -186.60256 104.90664 -83.38995 -23.91321 -67.76209 133.13519 182.97922 -36.30521 -137.87312 -76.62639 38.0682 -36.07204 -49.43273 -127.38852 -108.1355 61.49821 23.14031 -37.29508 87.4919 96.74403 -268.26029 -25.25527 29.08752 -113.11013 18.26208 -1.78424 -19.75062 -111.01728 -60.44916 15.1634 57.86891 -2.96767
"4" 2000 47.39862 -13.71048 22.31174 1.07022 -3.73625 0.59241 4.25123 -2.58943 7.64045 4.83517 -3.48796 -3.92288 35.95287 2604.6123 2079.58296 1768.45654 745.48586 1475.13242 773.76278 733.66342 427.8665 526.61447 404.38063 262.80011 85.07056 286.80201 -225.56672 -46.99207 73.95063 56.62115 -106.02495 97.59304 -97.85629 -46.1767 -55.78399 116.86332 -315.10653 -56.04554 -65.12363 84.17755 -53.43644 95.78288 -115.79063 42.06182 50.24039 26.50911 -194.03935 -540.47249 -163.93506 -38.43013 -51.00572 -48.94694 113.53484 32.73936 -47.09658 -59.1398 166.27525 -88.03611 72.26611 -42.21293 -4.81209 -4.51594 -61.89791 -66.78303 -77.16597 -127.80923 97.84695 -53.98178 -25.91003 -15.05356 -28.77187 -46.17745 89.72026 -27.10566 -13.54592 -27.90776 -20.80877 -58.9121 -307.47689 51.96939 7.62801 -244.2204 222.39333 92.62675 0.1408 141.88433 -164.11377 19.00376 -13.89663 -11.60357
"5" 2008 38.97544 -75.3511 15.12708 -3.94836 -0.19595 -3.81496 10.80981 -7.19084 2.9633 -10.3653 -2.92582 5.45255 57.87216 1988.34786 1706.92699 1706.72991 898.94148 909.72794 489.4823 421.8351 398.23748 344.74559 223.31402 376.27639 19.84703 -403.67047 -225.13631 -113.04159 -155.47689 93.65487 -29.11871 54.08023 -4.65768 -31.32079 -0.67792 159.1024 24.12256 147.69164 -525.33149 -62.30025 -56.21455 44.0315 -60.02196 25.37492 28.67338 21.92014 -12.3324 157.93586 -151.049 87.1766 -120.58949 25.75526 27.73676 20.76461 6.51484 -159.21509 65.03252 9.23659 174.95198 18.073 -1.58456 32.13776 -6.05937 -141.22052 83.56612 6.31557 82.22679 -75.02215 -92.33058 11.26417 -84.09025 -158.16397 -120.36445 37.98005 -26.86466 -1.1559 126.75383 23.606 -51.9544 181.76349 -7.17687 -148.96183 92.19885 -124.19427 -14.10995 72.97244 -134.06114 13.98427 43.08098 13.96578
"6" 2009 42.29716 -26.07547 7.45109 -5.69965 -8.28079 27.2594 -12.47772 -4.961 -11.99302 2.61449 -8.16991 -7.61347 61.78038 2134.3706 2230.59995 4582.00748 525.8579 2456.52909 1008.22998 990.08639 372.75549 693.72557 837.06819 491.39152 -148.2807 450.02685 -498.38954 47.26591 -56.90778 157.53664 -103.03743 -127.84602 -105.74725 336.95088 -275.11395 143.64412 211.06818 -148.98398 -685.187 354.60535 89.95403 296.87866 -233.07257 45.47918 -107.83599 32.7127 355.47232 -224.6214 -614.97114 74.78124 -117.64431 -26.84247 -552.25889 -165.9503 -97.31205 -227.91795 772.10676 1121.71941 146.63742 630.48249 291.86749 314.61581 36.1006 405.78817 -0.33283 153.14331 -3.46889 177.70074 -173.67263 -8.20199 176.80135 223.37636 -701.92289 -23.99118 -358.9402 -6.39222 23.6493 28.22356 -1627.24978 -30.1352 17.86437 -171.42332 314.93033 269.04206 -5.12138 -186.61112 -159.20341 -3.36548 -31.48903 6.58631
"7" 1987 44.5756 83.36539 41.69294 11.67362 13.08906 -12.56371 -6.63488 2.94253 4.49993 11.22366 2.18418 3.55472 27.2409 1116.7271 1979.3728 821.31933 952.64101 744.84963 771.92442 255.65709 545.5504 267.12506 282.49184 419.77392 7.86567 356.01169 -49.3541 -30.72559 115.04441 -38.28034 112.79321 -79.60105 140.15393 91.20416 20.71918 100.24581 48.02594 77.80833 -95.58002 -144.59977 45.52977 -42.48228 -33.76691 35.94671 -25.47283 -18.61072 -111.78539 135.01075 22.57511 -67.88824 -82.10663 44.78632 1.84279 -24.62049 -6.79396 22.11887 389.2853 37.6298 94.4184 -14.12698 5.11178 17.45289 9.08329 -103.96184 138.40205 9.89138 -68.43127 28.2292 165.98513 4.87752 60.73349 -290.81176 19.73639 -41.30898 -39.40801 5.65981 -214.65404 -188.92248 -50.13246 68.29352 -16.55656 -146.41396 -134.06806 50.23974 -8.54176 -25.98427 12.71804 -5.87763 -95.64785 6.81201
"8" 2007 47.51047 -3.41099 21.90567 12.40643 -7.21034 7.51681 3.48021 2.44123 -14.50217 -6.89287 -2.56213 -6.45249 57.90929 1749.19911 1803.05699 966.13183 653.25105 1107.48646 409.57079 556.78907 180.62478 397.62463 219.28401 145.72419 -2.95588 -933.8802 179.05932 -161.13084 -140.98799 42.74112 44.10207 62.69836 -71.14958 -65.17818 -17.72208 -37.71022 -227.88264 -575.41594 -64.89982 28.9878 -71.24629 -54.41447 -173.04316 42.25612 9.87333 -20.65937 556.25692 545.56411 -44.1848 94.2531 49.67931 -28.23469 50.22727 32.07608 9.56845 -54.84948 -62.2377 80.18489 38.43159 3.17711 12.67216 -25.26629 12.90006 -27.95625 -168.61747 18.5477 -100.6704 91.49057 -114.04482 -42.50252 50.72613 21.85485 -80.92403 23.31935 46.46533 -44.24717 -19.01755 149.09552 -16.53496 38.43846 26.26951 -145.55448 36.72069 19.06644 -5.98863 34.37124 76.51602 5.26819 29.06655 13.82104
"9" 1977 45.44523 65.30221 12.40136 -1.70596 -33.73342 -0.63184 1.83867 2.10544 10.15326 5.93426 -2.37435 -0.87906 23.65742 2619.44268 2637.04792 1489.24404 1219.24454 1045.18183 428.86271 529.93476 431.15694 371.71925 349.07538 328.91168 -25.83445 -90.36066 -420.37967 46.14824 197.18436 145.40695 16.22766 -87.74536 -66.04763 -21.24772 14.26303 102.96351 10.97644 206.3416 -245.79465 7.90832 105.63654 -59.94751 -17.54901 17.29726 -44.42341 -46.90932 885.64329 315.771 -143.417 125.65991 -58.43102 108.88719 -72.28104 82.12579 -12.47299 149.41613 122.99906 110.97839 -41.07953 108.42518 -1.77387 -8.98276 -35.80405 -78.83056 -274.52781 -81.43884 42.72093 86.80585 -68.12137 5.20872 379.13655 55.3679 -45.7737 -41.40977 -85.81597 -31.59751 -307.65033 -19.91097 -299.01106 -125.30738 14.55874 -11.72372 -10.02267 67.38112 -17.95225 3.5892 -279.72329 -2.26421 -85.52571 -1.74211
"10" 1986 35.86039 30.71682 16.75803 9.68578 16.59802 -1.92722 -1.66148 -5.33591 -4.71673 -1.5733 1.06356 13.75066 35.10772 2296.97727 2544.49928 1496.40165 1484.08563 1310.15324 864.99228 445.60018 582.78366 363.26126 258.10928 458.84926 -0.92595 610.83434 -68.74077 -3.40495 82.13473 199.52802 94.91001 -16.9026 95.35154 36.86854 31.76078 92.38588 134.77265 817.45658 -174.7442 -197.30471 -31.56341 170.89248 -54.27624 -0.80962 -55.87977 -1.00492 261.75362 63.96933 37.85375 45.49365 69.23473 84.37673 -53.08445 -27.36222 -2.89937 247.6786 -47.03559 -92.70329 22.07163 -74.50004 -34.65833 11.74639 2.37287 -14.44937 107.45816 46.8292 -109.90526 122.92502 -5.21978 11.55945 2.01659 -24.61937 96.04576 31.66524 82.9636 -2.57837 -177.74763 -174.58145 -0.48641 54.24779 16.6498 -41.75799 51.3318 20.45481 1.02966 67.45716 11.29987 5.26983 49.78908 -1.28756
